Serial,Series,Season,Episode,Question,Answer,Comic Reference Needed?,Other External Knowledge,Other Series,Speculative
AAAS1E6_Q1,Agatha All Along,1,6,"In Ep 6, what specific passage from the Torah does William Kaplan read during his Bar Mitzvah?","William reads Leviticus 10:1–10:2, which tells the story of Nadav and Avihu (sons of Aaron) who were burned to death by God for offering ""strange fire"" (unauthorized incense fire).",,Y,,
AAAS1E6_Q2,Agatha All Along,1,6,"In Ep 6, when William sits down for his fortune reading at his Bar Mitzvah, which two inverted tarot cards are displayed on the tapestries behind him, and what do they signify?","The tapestries display The Tower reversed (averting disaster, resisting change, or delaying the inevitable) and The Wheel of Fortune inverted (bad luck, unwelcome changes, and lack of control).",,Y,,
AAAS1E6_Q3,Agatha All Along,1,6,"Who created the sigil on William Kaplan, how was it created, and what was its actual purpose?",Lilia Calderu drew the sigil on a small wooden rune and slipped it into William Kaplan's coat pocket during his Bar Mitzvah. It protected the boy's identity from detection by witches like Agatha or Wanda.,,,,
AAAS1E6_Q4,Agatha All Along,1,6,"In Ep 6, what time did the Westview anomaly begin collapsing, and what exact dialogue played over the radio as the Kaplans drove home?","The anomaly collapsed at precisely 5:02 PM. The radio played audio of Wanda and Vision from WandaVision Ep 1 (""My wife and her flying saucers... My husband and his indestructible head"").",,,WandaVision,
AAAS1E6_Q5,Agatha All Along,1,6,How did Billy Maximoff's soul end up inside William Kaplan's body during the car crash in Eastview?,"As the Westview hex collapsed and Billy Maximoff was vanishing, William Kaplan died from the car crash in Eastview at the exact same moment. Billy Maximoff's soul then reincarnated into William's empty body.",,,WandaVision,
AAAS1E6_Q6,Agatha All Along,1,6,"In Ep 6, which former MCU character was revealed to be the police officer who responded to William Kaplan's car crash?",Alice Wu-Gulliver was the Eastview police officer who responded to the crash before she left the force to become a mall security guard.,,,,
AAAS1E6_Q7,Agatha All Along,1,6,"In Ep 6, what protective superstitious trinkets is Ralph Bohner wearing under his coat when he meets Billy in the parking garage?","Ralph wears animal bones forming a cross on his bucket hat (sangoma healing style), an evil eye charm, a chicken foot, a baby alligator skull, and a ""To Be or Not To Be"" bumblebee t-shirt.",,Y,WandaVision,
AAAS1E6_Q8,Agatha All Along,1,6,"In Ep 6, what major crime from WandaVision did Ralph Bohner confess to during his meeting with Billy in the garage?","Ralph Bohner confessed that Agatha made him take Monica Rambeau hostage in his attic and forced him to poison Wanda's dog, Sparky.",,,WandaVision,
AAAS1E6_Q9,Agatha All Along,1,6,What demon symbol from real-world occult lore is pinned to Billy's bedroom wall alongside his sigil notes in Ep 6?,The symbol for Paimon (one of the kings of Hell featured in real-world occult texts like The Lesser Key of Solomon and famously used in the film Hereditary) is pinned to his wall.,,Y,,
AAAS1E6_Q10,Agatha All Along,1,6,What famous 1972 historical event involving country music legend Dolly Parton was discovered on Bruhapedia during Billy's research on Agatha?,"Billy finds a 1972 surveillance photo of Dolly Parton slapping Agatha Harkness over allegations that Agatha was the real ""Jolene"" who tried to steal Dolly's husband.",,Y,,
AAAS1E6_Q11,Agatha All Along,1,6,"In Ep 6, what specific Latin phrase does Billy read in his spellbook to release Agatha from Wanda's spell, and what does it translate to?","Billy reads ""Dia me ex hoc carmine"", which translates to ""Release her from this spell / cursed woman"".",,Y,,
AAAS1E6_Q12,Agatha All Along,1,6,What comic book / WandaVision concept is referenced when Agatha and Billy discuss his existence inside William Kaplan's body in Ep 6?,"They reference the Ship of Theseus paradox (previously discussed by Vision in WandaVision Ep 9), questioning whether Billy is still William Kaplan if his original soul was replaced by Billy's soul in the same physical body.",,Y,WandaVision,
AAAS1E7_Q1,Agatha All Along,1,7,"In Ep 7, what is the meaning behind the episode title ""Death's Hand in Mine"", and where do those lyrics originate?","The title originates from the second verse of ""The Ballad of the Witches' Road"". It references Rio Vidal being Mistress Death—the ex-lover whose hand Agatha has held all along.",,Y,,
AAAS1E7_Q2,Agatha All Along,1,7,"In Ep 7, what subtle costume detail is stitched onto the back shoulder of Billy's sweater?","The Scarlet Witch's tiara/crown is stitched onto the upper right shoulder blade region of Billy's sweater, designed by costume designer Daniel Selon.",,Y,WandaVision,
AAAS1E7_Q3,Agatha All Along,1,7,"In Ep 7, which classic pop culture witch costumes are Agatha and Billy transformed into upon entering the castle trial?","Agatha is dressed as the Wicked Witch of the West (Margaret Hamilton from 1939's The Wizard of Oz), while Billy is dressed as Maleficent (from Disney's Sleeping Beauty).",,Y,,
AAAS1E7_Q4,Agatha All Along,1,7,"In Ep 7, what stage of the moon is displayed on the castle drawbridge, and what does it represent in the coven's trial progression?","The drawbridge displays a waxing gibbous moon (representing refinement, preparation, and coming to fruition). Each trial corresponds to a moon phase: Ep 3 (Full Moon), Ep 4 (Waxing Crescent), Ep 5 (Blood Moon), and Ep 7 (Waxing Gibbous).",,Y,,
AAAS1E7_Q5,Agatha All Along,1,7,What famous historical ancient metaphor is referenced by the swords hanging above the table in the castle trial?,"They reference the Sword of Damocles, symbolizing that with great power comes great fear and constant peril.",,Y,,
AAAS1E7_Q6,Agatha All Along,1,7,"In Ep 7, how is time travel/unstuck mind portrayed for Lilia Calderu, and which classic sci-fi/pop culture works inspired this narrative structure?","Lilia's consciousness experiences time non-linearly (unstuck mind), jumping across different points in her past and future. This structure was inspired by Desmond Hume in Lost (""The Constant""), Slaughterhouse-Five (Billy Pilgrim), and the ""Bent Neck Lady"" twist in The Haunting of Hill House.",,Y,,
AAAS1E7_Q7,Agatha All Along,1,7,"What real-world 1972 philosophical lecture on time is quoted in Ep 7 when Lilia tells Jen ""The flow of time is an illusion""?","Lilia references Alan Watts's 1972 lecture on time, explaining that human perception of time as linear is an illusion and that all moments exist simultaneously.",,Y,Loki,
AAAS1E7_Q8,Agatha All Along,1,7,"In Ep 7, what real-world historical tragedy caused young Lilia to lose faith in her divination powers?","As a young girl in 17th-century Sicily, Lilia foresaw a deadly fever (the Great Italian Plague / Bubonic Plague) coming to wipe out her coven and felt powerless to stop it.",,Y,,
AAAS1E7_Q9,Agatha All Along,1,7,"In Ep 7, what complete ""Safe Passage"" Tarot Spread does Lilia lay out for the coven, and which card represents each member/element?","The Safe Passage spread: The Traveler (Queen of Cups / Lilia), What's Missing (Three of Pentacles / Coven), The Path Behind (Knight of Wands / Alice), The Path Ahead (High Priestess / Jen), Obstacles (Three of Swords / Agatha), Windfall (The Tower Reversed / Billy), Destination (Death / Rio).",,Y,,
AAAS1E7_Q10,Agatha All Along,1,7,"In Ep 7, how is Rio Vidal's true form revealed when she meets Lilia at the Destination card, and how does her appearance homage comic/MCU lore?","Rio appears as Mistress Death holding a dagger in one hand and a black heart in the other. Half her face is a skeletal skull wearing a green crown, matching the Mistress Death statue in Thor: Love and Thunder.",Y,Y,,
AAAS1E7_Q11,Agatha All Along,1,7,"How does Lilia defeat the Salem 7 in Ep 7, and what happens to her afterward?","Lilia flips The Tower card upright, causing the castle ceiling/room to invert gravity. The Salem 7 fall onto the falling swords. Lilia then intentionally lets go of the table, falling/ascending peacefully to meet her destiny.",,,,
AAAS1E7_Q12,Agatha All Along,1,7,"What famous 1970s song plays over the closing credits of Ep 7, and which previous Marvel film famously featured it?","Jim Croce's ""Time in a Bottle"" plays over the credits. It famously featured in X-Men: Days of Future Past during Quicksilver's (Evan Peters) Pentagon kitchen slow-motion scene.",,Y,,
AAAS1E8_Q1,Agatha All Along,1,8,"In Ep 8, how does Rio Vidal (Mistress Death) make her departure from the Witches' Road set, and why is it visually significant?","Rio slices a literal cut into the physical backdrop canvas of the set with her dagger and steps through it, exposing that the Witches' Road is a practical, dollhouse-like backdrop created by Billy Maximoff's powers.",,Y,,
AAAS1E8_Q2,Agatha All Along,1,8,"In Ep 8, what was the real story behind Jennifer Kale's binding spell, and who bound her in the 1920s?",Jennifer Kale was a 1920s midwife who provided better reproductive/healthcare to women; Boston obstetricians paid Agatha Harkness in banknotes to place a binding spell on Jen to silence her.,,Y,,
AAAS1E8_Q3,Agatha All Along,1,8,"In Ep 8, how does Billy Maximoff locate and save his brother Tommy's soul?","Guided by Agatha through meditation, Billy channels his Scarlet Witch grief/love magic to locate an empty vessel—a boy being bullied and drowned in a summer camp lake—and places Tommy's soul into his body.",,,,
AAAS1E8_Q4,Agatha All Along,1,8,"In Ep 8, how does Agatha complete the final trial in her basement morgue, and what symbol grows from it?","Agatha waters a dandelion seed hidden inside her brooch using her own tear without casting any spell, growing a dandelion out of the basement floor (symbolizing creating life out of grief without magic).",,,,
AAAS1E8_Q5,Agatha All Along,1,8,"In Ep 8, what comic-accurate details are incorporated into Billy Maximoff's Wiccan suit designed by Daniel Selon?","His Wiccan suit combines a patchwork of elements: the Scarlet Witch's crown pattern 3D-printed on the outer cape, Vision's graphic cape pattern on the underside, a mindstone/crown icon, and knee patches matching his regular jeans.",Y,Y,WandaVision,
AAAS1E8_Q6,Agatha All Along,1,8,"In Ep 8, how does Agatha sacrifice herself during the final battle against Mistress Death?","Agatha stops Death from taking Billy Maximoff by kissing Rio Vidal, giving herself the ""kiss of death"" to surrender her life and protect Billy.",,,,
AAAS1E8_Q7,Agatha All Along,1,8,"In Ep 8, how is the twist revealed that the Witches' Road was created entirely by Billy Maximoff?","Billy looks around his bedroom in Eastview and realizes every trial location, decor item, board game, and theme on the Road was inspired by posters, figurines, and objects in his room and Bar Mitzvah (like The Usual Suspects / The Sixth Sense).",,Y,,
AAAS1E9_Q1,Agatha All Along,1,9,"In Ep 9, what deal did Agatha Harkness make with Mistress Death when her son Nicholas Scratch was born in 1750?","Nicholas Scratch was born sick/on borrowed time; Death granted Agatha extra time to raise her son, but without specifying how much time he would be given.",,,,
AAAS1E9_Q2,Agatha All Along,1,9,"In Ep 9, what was the original origin and purpose of ""The Ballad of the Witches' Road""?","The Ballad was originally a sweet, innocent walking song co-composed by 6-year-old Nicholas Scratch and Agatha in 1756. After Nicholas died, Agatha turned it into a deceptive lure to trick covens and drain their magic.",,,,
AAAS1E9_Q3,Agatha All Along,1,9,"In Ep 9, how did Nicholas Scratch die, and what item did Agatha keep in his memory?",Nicholas Scratch died of his illness down by the creek while Rio (Death) gently led his soul across a footbridge. Agatha preserved a lock of his hair in her mother's brooch along with a dandelion seed.,,,,
AAAS1E9_Q4,Agatha All Along,1,9,"In Ep 9, why does Agatha return as a ghost instead of passing on to the afterlife?",Agatha refuses to pass on because she is terrified to face her son Nicholas in the afterlife after spending centuries misusing their special song to murder witches.,Y,,,
AAAS1E9_Q5,Agatha All Along,1,9,"In Ep 9, how does Agatha's ghost form evolve when she attaches the brooch to her chest, and what role does she take for Billy?","By confronting her grief, Agatha attaches her brooch and evolves into an illuminated white ghost (representing the Spirit Witch / Gandalf the White archetype), becoming Billy Maximoff's guide to go find Tommy.",,Y,,
WVS1E1_Q1,WandaVision,1,1,"In Ep 1, what is the comic book significance of the license plate ""0102"" on Wanda and Vision's car?","In computer binary code, ""0102"" translates to an ""abnormal end"", foreshadowing the unnatural collapse of Wanda's sitcom hex.",,Y,,
WVS1E1_Q2,WandaVision,1,1,"In Ep 1, what MCU Earth designation is homaged by Wanda and Vision's house street number ""2800""?","It references Earth-2800, which is the official Earth multiverse designation for the main Marvel Cinematic Universe.",Y,,,
WVS1E1_Q3,WandaVision,1,1,"In Ep 1, what sound effect does the ToastMate 2000 commercial make, and what trauma from Wanda's past does it reference?","The Stark Industries toaster makes the sound of Iron Man's repulsor charging up, and its blinking red light/beeping references the unexploded Stark Industries bomb that killed Wanda's parents in Sokovia.",,Y,,
WVS1E1_Q4,WandaVision,1,1,"In Ep 1, why is calling Vision a ""toaster"" in the commercial a deep comic book nod?","In Tom King's Vision comic run (Vision #7), ""toaster"" was a derogatory human slur used against Vision, and Wanda affectionately calls him a toaster.",Y,,,
WVS1E1_Q5,WandaVision,1,1,"In Ep 1, what classic Avengers comic issue number is referenced by the special date ""August 23"" on the calendar?","August 23 can be read as 23/8, referencing Avengers #238, a famous comic storyline where Vision was incapacitated and tried to reactivate himself.",Y,,,
WVS1E1_Q6,WandaVision,1,1,"In Ep 1, what subtle comic book clue links Kathryn Hahn's character ""Agnes"" to the Marvel witch Agatha Harkness?","Agnes is a contraction of ""AGatha HNESt"", and she wears a central cameo brooch, matching the iconic brooch worn by Agatha Harkness in Scarlet Witch comics.",Y,,,
WVS1E1_Q7,WandaVision,1,1,"In Ep 1, what subtle irony is present when Wanda states Vision has an ""indestructible head""?","It is a tragic irony referencing Infinity War, where Thanos crushed Vision's head to extract the Mind Stone.",,Y,,
WVS1E1_Q8,WandaVision,1,1,"In Ep 1, what secret intelligence agency symbol appears on the notebook at the very end of the episode?",The S.W.O.R.D. (Sentient Weapon Observation Response Division) logo appears on the monitor and notebook watching Wanda's broadcast.,,,,
WVS1E2_Q1,WandaVision,1,2,"In Ep 2, the animated opening sequence reveals a creepy Easter egg hidden in the floorboards under Vision and Wanda's house. What is it?","The animation parodies a Simpsons crawl space gag, revealing bones and a four-pronged helmet resembling the Marvel villain the Grim Reaper (who has ties to Vision in the comics regarding transferred consciousness).",Y,Y,,
WVS1E2_Q2,WandaVision,1,2,"In Ep 2, what song plays through the radio static as a plea for Wanda's help?","The Beach Boys' ""Help Me, Rhonda"", functioning as a cry to ""Help me, Wanda"".",,Y,,
WVS1E2_Q3,WandaVision,1,2,"In Ep 2, how do Wanda and Vision disguise their powers during the talent show, and what comic lore is this nodding to?","They perform under the stage names ""Illusion and Glamour"". In the 1980s Vision and Scarlet Witch comics, Illusion and Glamour were the stage names of the Zarkovs (magic-users who lived near them in Leonia, New Jersey).",Y,,,
WVS1E2_Q4,WandaVision,1,2,What dark location from Wanda's past is hidden on the dining room wall art in Ep 2?,The art shows a fortress representing the Hydra lab base in Sokovia where Wanda and her brother Pietro were experimented on in Avengers: Age of Ultron.,,Y,,
WVS1E2_Q5,WandaVision,1,2,"In Ep 2, what does Agnes reveal her rabbit Senor Scratchy played in last year's Christmas pageant, and why is this symbolically creepy?","She says he played Baby Jesus. It is sacrilegious/creepy because ""Mr. Scratch"" or ""Old Scratch"" are classic nicknames for the Devil (hinting at Mephisto or dark magic origins).",Y,Y,,
WVS1E2_Q6,WandaVision,1,2,"What date does Agnes explicitly state is her wedding anniversary to Ralph, and what dark history does this connect to?","Agnes states their anniversary is June 2nd, which is the exact date the Salem Witch Trials began in 1692.",,Y,,
WVS1E2_Q7,WandaVision,1,2,"In Ep 2, what specific MCU organization logo is on the side of the red and yellow toy helicopter Wanda finds in her bushes?",It features the S.W.O.R.D. logo.,,,,
WVS1E2_Q8,WandaVision,1,2,"In Ep 2, who is the voice pleading ""Who's doing this to you, Wanda?"" over the radio?","The voice belongs to Jimmy Woo, the FBI agent working with S.W.O.R.D.",,,,
WVS1E2_Q9,WandaVision,1,2,"In Ep 2, what brand of luxury watch is featured in the commercial, and what specific MCU element is engraved on it?","The watch brand is ""Strucker"" (referencing Baron von Strucker from Hydra) and the face of the watch has the word ""HYDRA"" and the Hydra tentacle logo engraved on it.",,Y,,
WVS1E2_Q10,WandaVision,1,2,"In Ep 2, what visual motif appears at the end of the episode to ""wipe"" the scene away and appears repeatedly in the set design?","A hexagonal / honeycomb wipe transitions the scene (tying into the recurring hexagon ""hex"" shape motif of Wanda's bubble).",,,,
WVS1E3_Q1,WandaVision,1,3,"In Ep 3, the sitcom opening credits mimic which two 1970s television comedies?","The 3x3 square grid mimics The Brady Bunch, while the bike-riding intro and theme music closely mimic The Partridge Family.",,Y,,
WVS1E3_Q2,WandaVision,1,3,"In Ep 3, what movie is listed on the theater marquee behind Vision in the opening titles, and what makes it suspicious?","The marquee reads ""Oz the Great and Powerful"" (a 2013 movie directed by Sam Raimi) which shouldn't exist in a 1970s-themed sitcom reality.",,Y,,
WVS1E3_Q3,WandaVision,1,3,"In Ep 3, what are the names of Wanda and Vision's newborn twin babies, and who do they grow up to be in the Marvel comics?","Their babies are named Billy and Tommy. In the comics, they grow up to be the Young Avengers Wiccan (Billy Kaplan) and Speed (Tommy Shepherd).",Y,,,
